date,total_export,total_import,EXMAUS,RBMYBIS,world_export
2014-04-01,66197568668,57488341030,3.2726,99.09,1593533.851594
2014-05-01,64750457124,59162806558,3.2633,99.31,1607344.913655
2014-06-01,61202242885,57120353139,3.2265,99.61,1583102.283755
2014-07-01,61062672099,57476526817,3.2003,100.81,1649039.848137
2014-08-01,63890106457,60019750921,3.211,101.51,1499392.548905
2014-09-01,64502722880,55193524314,3.179,102.28,1620875.537266
2014-10-01,64986498797,63903658806,3.259,101.32,1631717.996194
2014-11-01,63590930968,52599104137,3.3331,101.39,1519059.704445
2014-12-01,67359724198,58457190152,3.4415,99.54,1511071.2221
2015-01-01,62971400635,54641285144,3.515,98.14,1354761.366086
2015-02-01,52473779734,48643971878,3.5848,97.02,1281559.452291
2015-03-01,65510833005,58607087941,3.6395,95.06,1397080.811719
2015-04-01,60046763429,53707720377,3.6782,96.14,1360097.134892
2015-05-01,60419471581,55076894560,3.56,97.7,1365151.69641
2015-06-01,64309892901,56498955578,3.6947,95.01,1444575.72199
2015-07-01,63319085654,60830347311,3.7601,94.74,1416064.253435
2015-08-01,66572612902,56332681872,3.8811,90.41,1284399.25396
2015-09-01,70152287958,60503376192,4.2721,85.51,1399251.610265
2015-10-01,75741409616,63635786035,4.407,85.0,1406641.789392
2015-11-01,67563449137,57384937450,4.2862,85.69,1336444.668201
2015-12-01,68274096386,59915393156,4.242,86.44,1359924.835798
2016-01-01,61850814361,56455203814,4.3672,85.2,1181631.210511
2016-02-01,56716656429,49365944097,4.1748,87.07,1179926.21568
2016-03-01,66554989271,55390987779,4.1415,89.58,1329046.152826
2016-04-01,61319194254,52285629768,3.889,91.73,1312132.722765
2016-05-01,59990439396,56772615755,3.9648,88.71,1317154.505342
2016-06-01,66508278398,60926497367,4.145,88.3,1383906.708439
2016-07-01,60067303412,57967604002,3.996,90.19,1300228.323991
2016-08-01,67667606708,59044699902,4.0363,88.68,1318106.874417
2016-09-01,68182138079,60468803189,4.0785,87.01,1384786.143372
2016-10-01,69334232068,59452047169,4.1374,86.75,1353949.797543
2016-11-01,72971032724,63857551154,4.183,85.48,1406099.353835
2016-12-01,75801473347,66831083624,4.4555,84.87,1410901.333446
2017-01-01,70309404589,65439555215,4.485,84.15,1312342.814958
2017-02-01,71979306222,63058521239,4.4253,84.48,1266895.741236
2017-03-01,82890858103,77240296485,4.4482,85.46,1522547.748316
2017-04-01,74243425839,65210734893,4.4308,85.79,1346597.734446
2017-05-01,79215990063,72973424563,4.3286,86.87,1471619.588054
2017-06-01,72823576835,62627394536,4.2825,86.3,1485605.684541
2017-07-01,78747828253,70589577401,4.2964,85.97,1434433.148834
2017-08-01,82024847847,72113002987,4.2805,85.3,1458188.206012
2017-09-01,77861456973,69650394535,4.269,85.76,1538336.556791
2017-10-01,81862196892,71851134024,4.2317,86.91,1534192.722395
2017-11-01,83485946610,73551888413,4.231,88.46,1606991.580297
2017-12-01,79481981178,72116257900,4.0875,89.49,1571453.927408
2018-01-01,83252374097,73201318749,4.0075,91.41,1554208.961584
2018-02-01,70552338027,61416781311,3.8923,91.75,1473848.16984
2018-03-01,84855731676,69896689462,3.9145,90.65,1663323.268314
2018-04-01,84636362311,71373505674,3.865,90.91,1591236.13750569
2018-05-01,82862036666,74039605524,3.9308,90.6,1639187.434339
2018-06-01,78845180411,72746234032,3.977,89.78,1650340.911587
2018-07-01,86474633443,78349145431,4.0395,89.97,1623694.826691
2018-08-01,81982175631,80536081015,4.0727,90.41,1590574.343799
2018-09-01,83341938041,67770939016,4.137,88.77,1619480.92553
2018-10-01,97122030236,80270465604,4.1408,89.02,1724127.827714
2018-11-01,85542538247,77046310904,4.1685,89.37,1662313.040772
2018-12-01,84119529105,73156938920,4.1585,89.13,1532076.426535
2019-01-01,86340816726,73921663552,4.1308,89.64,1542451.924555
2019-02-01,67683054771,55567217045,4.092,89.32,1409772.779138
2019-03-01,85677001848,69681372619,4.072,89.05,1634087.250442
2019-04-01,86227856480,74376807130,4.0814,88.67,1551771.705902
2019-05-01,84678578412,75108549218,4.1362,88.25,1620591.823978
2019-06-01,76690883882,65630287982,4.1827,87.05,1535464.417532
2019-07-01,89764904260,73796315739,4.1357,88.81,1607340.541527
2019-08-01,81513265567,70460901208,4.1487,88.41,1503139.03429
2019-09-01,78251519636,69437628887,4.1819,88.87,1561302.969734
2019-10-01,90860958317,73288784297,4.1872,88.02,1638584.122904
2019-11-01,80947366191,74261125522,4.1553,88.47,1579420.930551
2019-12-01,86435709989,73880158481,4.1464,88.38,1568666.447803
2020-01-01,84288448529,72249892504,4.0785,88.71,1447767.11835854
2020-02-01,74604085453,62160441629,4.1625,88.43,1371939.63297946
2020-03-01,80229216382,68737275003,4.2958,86.99,1459054.668677
2020-04-01,64911019816,69375547785,4.3493,85.85,1150893.785939
2020-05-01,62800999398,52942892286,4.3362,83.83,1180271.587863
2020-06-01,82905374179,62995791618,4.273,83.83,1359058.737601
2020-07-01,92682081891,67424248124,4.2614,84.57,1466741.607114
2020-08-01,80754283800,65974870402,4.1852,85.22,1417864.380932
2020-09-01,88892145201,66955956809,4.1478,85.42,1575799.122707
2020-10-01,91190220008,68930985423,4.15,84.93,1612311.725602
2020-11-01,84721268600,67616623101,4.1132,84.85,1635634.51769
2020-12-01,95847622662,75116795059,4.0546,84.66,1688353.861397
2021-01-01,89676766017,73057699889,4.0357,84.8,1592903.651911
2021-02-01,87804311926,69680094650,4.0448,85.47,1547175.534754
2021-03-01,105228130706,80867130551,4.1089,84.31,1848835.647521
2021-04-01,105630904879,85293186379,4.12,82.86,1777506.010081
2021-05-01,92387496974,78531656132,4.1269,84.58,1775245.304957
2021-06-01,105316873234,83217277093,4.1332,85.01,1894751.498319
2021-07-01,97124455453,83564140447,4.2032,84.17,1850367.51925
2021-08-01,95379368745,74245022750,4.217,82.89,1796284.774761
2021-09-01,110882447759,84650170712,4.167,83.43,1917537.351036
2021-10-01,114488118913,87905449537,4.1622,83.81,1963333.07243
2021-11-01,112670570259,93383639697,4.1745,83.86,2036921.705306
2021-12-01,124432647966,92948506276,4.2113,84.03,2059644.039694
2022-01-01,111060009398,92822474443,4.1888,84.9,1912602.239575
2022-02-01,101741736349,82589281335,4.1865,83.76,1840678.392636
2022-03-01,131488115750,105244068249,4.1989,84.08,2169094.195991
2022-04-01,127482872603,104107465827,4.2673,83.51,2014055.817336
2022-05-01,120589641890,107791338885,4.3803,82.72,2100201.180762
2022-06-01,144275465344,121093513037,4.3993,82.92,2175499.304601
2022-07-01,134325516668,118486734147,4.4409,83.19,2072396.683534
2022-08-01,141518884251,124231338673,4.4642,83.27,2056932.535423
2022-09-01,144249619884,112410395977,4.5463,84.08,2109828.154034
2022-10-01,131977237731,113518137284,4.6954,82.95,2004348.564424
2022-11-01,129693918792,107890405297,4.6101,82.59,2038461.511112
2022-12-01,131606255974,103626239002,4.4095,98.71,2015409.936091
2023-01-01,112655260059,94524720381,4.3218,98.51,1903042.822996
2023-02-01,112268544901,92699896535,4.3632,97.84,1839183.384077
2023-03-01,129668248076,102979791417,4.464,96.42,2168142.496137
2023-04-01,105192910201,92566714154,4.4236,96.71,1900188.625715
2023-05-01,119510302916,103812007148,4.5123,95.68,1998641.52408
2023-06-01,123951736126,98403085189,4.6301,94.33,1986897.03032
2023-07-01,116811007227,99456227666,4.5846,94.52,1908770.880936
2023-08-01,115029036106,97848602524,4.6089,94.85,1965319.84556
2023-09-01,124309905178,99936234499,4.6826,94.19,1939522.885262
2023-10-01,126091553050,113187168279,4.7458,93.6,2012634.816359
2023-11-01,121735609462,109501476934,4.6855,93.8,
2023-12-01,118452915794,106656683398,4.658,93.06,
